title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
Fireproof,Eric Wilson,English,4.47,52871,616,Thomas Nelson Publishers,2008.0,284.0,Paperback,"['Christian', 'Christian Fiction', 'Fiction', 'Romance', 'Marriage', 'Faith', 'Inspirational', 'Relationships', 'Contemporary', 'Spirituality']",https://www.goodreads.com/book/show/3412815-fireproof
Crank,Ellen Hopkins,English,4.16,139194,8919,Margaret K. McElderry Books,2004.0,537.0,Paperback,"['Young Adult', 'Poetry', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Teen', 'Romance', 'Banned Books', 'High School']",https://www.goodreads.com/book/show/270730.Crank
الحرافيش,Naguib Mahfouz,Arabic,4.38,16833,2423,دار الشروق,2006.0,599.0,Paperback,"['Novels', 'Fiction', 'Literature', 'Egypt', 'Classics', 'Historical Fiction', 'Africa', 'Egyptian Literature', 'Nobel Prize', 'Literary Fiction']",https://www.goodreads.com/book/show/5295735
"He, She and It",Marge Piercy,English,3.98,5538,466,Fawcett,1993.0,448.0,Mass Market Paperback,"['Science Fiction', 'Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Feminism', 'Speculative Fiction', 'Cyberpunk', 'Science Fiction Fantasy', 'Jewish']",https://www.goodreads.com/book/show/788331.He_She_and_It
Independent People,Halldór Laxness,English,4.15,11334,1580,Vintage,1997.0,482.0,Paperback,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Nobel Prize', 'Novels', 'Scandinavian Literature', 'Literary Fiction', '20th Century', 'Historical']",https://www.goodreads.com/book/show/77287.Independent_People
Morrigan's Cross,Nora Roberts,English,4.14,53693,1625,Jove,2006.0,321.0,Mass Market Paperback,"['Romance', 'Fantasy', 'Paranormal', 'Paranormal Romance', 'Vampires', 'Fiction', 'Magic', 'Time Travel', 'Witches', 'Contemporary Romance']",https://www.goodreads.com/book/show/26046.Morrigan_s_Cross
Emperor of Thorns,Mark  Lawrence,English,4.24,50917,2863,Ace,2013.0,434.0,Hardcover,"['Fantasy', 'Fiction', 'Dark Fantasy', 'Epic Fantasy', 'Science Fiction', 'High Fantasy', 'Post Apocalyptic', 'Dark', 'Audiobook', 'Dystopia']",https://www.goodreads.com/book/show/15985373-emperor-of-thorns
Fragments,Dan Wells,English,4.1,26027,1962,Balzer + Bray,2013.0,576.0,Hardcover,"['Young Adult', 'Dystopia', 'Science Fiction', 'Post Apocalyptic', 'Fiction', 'Fantasy', 'Romance', 'Adventure', 'Apocalyptic', 'Audiobook']",https://www.goodreads.com/book/show/13170596-fragments
Radiant Shadows,Melissa Marr,English,3.97,38004,1447,Harper,2010.0,340.0,Hardcover,"['Young Adult', 'Fantasy', 'Paranormal', 'Urban Fantasy', 'Fairies', 'Romance', 'Fae', 'Fiction', 'Paranormal Romance', 'Magic']",https://www.goodreads.com/book/show/6368610-radiant-shadows
Jack Who?: Perfect Storms,Lisa Gillis,English,3.62,1250,82,Rock Star Reads,2013.0,185.0,ebook,"['Romance', 'Music', 'Contemporary Romance', 'Contemporary', 'Chick Lit', 'Rock N Roll', 'New Adult', 'Adult', 'Fiction', 'Musicians']",https://www.goodreads.com/book/show/18402055-jack-who
Year of Wonders,Geraldine Brooks,English,4.01,155615,11785,Penguin Books,2002.0,304.0,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Book Club', 'Adult', 'Audiobook', 'Adult Fiction', 'Novels', 'Literature']",https://www.goodreads.com/book/show/4965.Year_of_Wonders
Someone Like You,Sarah Dessen,English,3.92,101977,4176,Penguin,2004.0,281.0,Paperback,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Teen', 'High School', 'Young Adult Contemporary', 'Young Adult Romance']",https://www.goodreads.com/book/show/816953.Someone_Like_You
Altered Carbon,Richard K. Morgan,English,4.04,101623,6751,Del Rey,2018.0,544.0,Kindle Edition,"['Science Fiction', 'Fiction', 'Cyberpunk', 'Mystery', 'Thriller', 'Noir', 'Audiobook', 'Science Fiction Fantasy', 'Crime', 'Fantasy']",https://www.goodreads.com/book/show/40792913-altered-carbon
The Assassin and the Pirate Lord,Sarah J. Maas,English,4.21,46445,2407,Bloomsbury Children’s,2012.0,70.0,Kindle Edition,"['Fantasy', 'Young Adult', 'Novella', 'Short Stories', 'Fiction', 'Romance', 'High Fantasy', 'Young Adult Fantasy', 'Adventure', 'New Adult']",https://www.goodreads.com/book/show/13415554-the-assassin-and-the-pirate-lord
Lila: An Inquiry Into Morals,Robert M. Pirsig,English,3.82,6816,403,Bantam,1992.0,480.0,Paperback,"['Philosophy', 'Fiction', 'Literature', 'Novels', 'Spirituality', 'Psychology', 'Classics', 'American', 'Contemporary', 'Metaphysics']",https://www.goodreads.com/book/show/31093.Lila
The Book of Laughter and Forgetting,Milan Kundera,English,3.97,46545,2509,HarperPerennial Modern Classics,1999.0,313.0,Paperback,"['Fiction', 'Czech Literature', 'Literature', 'Novels', 'Classics', 'Philosophy', 'Short Stories', 'Literary Fiction', 'Contemporary', '20th Century']",https://www.goodreads.com/book/show/240976.The_Book_of_Laughter_and_Forgetting
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,English,3.88,86542,6721,"Penguin Press HC, The",2011.0,307.0,Hardcover,"['Nonfiction', 'Science', 'Psychology', 'Self Help', 'Memoir', 'Personal Development', 'Audiobook', 'Education', 'Biography', 'Brain']",https://www.goodreads.com/book/show/6346975-moonwalking-with-einstein
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,English,4.18,75976,1856,Signet,2004.0,233.0,Mass Market Paperback,"['Classics', 'Fiction', 'Russia', 'Philosophy', 'Russian Literature', 'Literature', 'Novels', 'Short Stories', '19th Century', 'Literary Fiction']",https://www.goodreads.com/book/show/17876.Notes_from_Underground_White_Nights_The_Dream_of_a_Ridiculous_Man_and_Selections_from_The_House_of_the_Dead
Secrets of the Realm,Bev Stout,English,3.92,580,86,Bev Stout,2013.0,338.0,ebook,"['Historical Fiction', 'Young Adult', 'Middle Grade', 'Historical', 'Coming Of Age', 'Fiction', 'Fantasy', 'Action', 'Adventure', 'Pirates']",https://www.goodreads.com/book/show/19183499-secrets-of-the-realm
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,English,3.91,38690,3519,Dey Street Books,2017.0,338.0,Hardcover,"['Nonfiction', 'Science', 'Psychology', 'Business', 'Technology', 'Economics', 'Sociology', 'Audiobook', 'Social Science', 'Politics']",https://www.goodreads.com/book/show/28512671-everybody-lies
Ghost Town,Rachel Caine,English,4.25,36792,1225,New American Library,2010.0,335.0,Hardcover,"['Vampires', 'Young Adult', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Romance', 'Supernatural', 'Fiction', 'Paranormal Romance', 'Teen']",https://www.goodreads.com/book/show/7600922-ghost-town
Raven Rise,D.J. MacHale,English,4.19,22452,403,Simon & Schuster Books for Young Readers,2008.0,544.0,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Adventure', 'Childrens', 'Middle Grade', 'Young Adult Fantasy', 'Teen', 'Action']",https://www.goodreads.com/book/show/1729146.Raven_Rise
Song of the Silent Snow,Hubert Selby Jr.,English,3.84,1268,77,Marion Boyars Publishers Ltd,2000.0,216.0,Paperback,"['Fiction', 'Short Stories', 'Literature', '20th Century', 'The United States Of America', 'Classics', 'American', 'Americana', 'Drama', 'Modern']",https://www.goodreads.com/book/show/50273.Song_of_the_Silent_Snow
The Affair,Lee Child,English,4.14,93621,4525,Bantam,2011.0,427.0,Hardcover,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Action', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Military Fiction', 'Adventure']",https://www.goodreads.com/book/show/10428708-the-affair
Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,English,4.1,31569,3416,Hyperion Books,2002.0,294.0,Paperback,"['Nonfiction', 'Memoir', 'Biography', 'History', 'Africa', 'Morocco', 'Biography Memoir', 'Autobiography', 'Politics', 'Book Club']",https://www.goodreads.com/book/show/103342.Stolen_Lives
Title: Audition,Ryū Murakami,English,3.52,10810,1366,Bloomsbury Publishing PLC,2009.0,208.0,Hardcover,"['Horror', 'Fiction', 'Japanese Literature', 'Japan', 'Thriller', 'Mystery', 'Contemporary', 'Asia', 'Adult', 'Asian Literature']",https://www.goodreads.com/book/show/3392668-title
Loving Frank,Nancy Horan,English,3.76,96803,9801,Ballantine Books,2007.0,384.0,Hardcover,"['Historical Fiction', 'Fiction', 'Book Club', 'Historical', 'Architecture', 'Romance', 'Adult Fiction', 'Art', 'Adult', 'Audiobook']",https://www.goodreads.com/book/show/898885.Loving_Frank
Cold Mountain,Charles Frazier,English,3.88,237538,6276,Grove Press,2006.0,449.0,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Civil War', 'War', 'Classics', 'Literature', 'Novels', 'Literary Fiction']",https://www.goodreads.com/book/show/10920.Cold_Mountain
